Date,Price,Extra,Distance,Class,Region
2023-01-01,250,51,1772,Y,Eur
2023-01-01,99,9,953,Y,Eur
2023-01-01,146,3,1447,Y,Eur
2023-01-01,180,13,1348,Y,Eur
2023-01-01,167,13,1840,Y,Eur
2023-01-01,152,13,1257,Y,Eur
2023-01-01,120,7,1426,Y,Eur
2023-01-01,70,5,891,Y,Eur
2023-01-01,115,11,1222,Y,Eur
2023-01-01,200,8,992,Y,Eur
2023-01-01,62,8,1006,Y,Eur
2023-01-01,86,21,849,Y,Eur
2023-01-01,73,3,1219,Y,Eur
2023-01-01,128,9,1458,Y,Eur
2023-01-01,126,18,1118,Y,Eur
2023-01-01,167,32,1345,Y,Eur
2023-01-01,143,9,1267,Y,Eur
2023-01-01,132,26,981,Y,Eur
2023-01-01,105,7,996,Y,Eur
2023-01-01,162,25,1304,Y,Eur
2023-01-01,166,6,884,Y,Eur
2023-01-01,155,23,1652,Y,Eur
2023-01-01,125,0,1341,Y,Eur
2023-01-01,46,3,973,Y,Eur
2023-01-01,159,5,1378,Y,Eur
2023-01-01,149,21,1593,Y,Eur
2023-01-01,75,15,836,Y,Eur
2023-01-01,79,14,1382,Y,Eur
2023-01-01,103,12,1081,Y,Eur
2023-01-01,91,3,938,Y,Eur
2023-01-01,34,4,1108,Y,Eur
2023-01-01,176,17,1245,Y,Eur
2023-01-01,92,15,713,Y,Eur
2023-01-01,183,34,806,Y,Eur
2023-01-01,55,4,1065,Y,Eur
2023-01-01,136,10,1185,Y,Eur
2023-01-01,128,11,1177,Y,Eur
2023-01-01,140,5,1610,Y,Eur
2023-01-01,48,1,1104,Y,Eur
2023-01-01,145,32,1323,Y,Eur
2023-01-01,112,16,1233,Y,Eur
2023-01-01,43,2,788,Y,Eur
2023-01-01,67,8,795,Y,Eur
2023-01-01,119,29,1199,Y,Eur
2023-01-01,134,4,1515,Y,Eur
2023-01-01,52,5,1264,Y,Eur
2023-01-01,164,4,1112,Y,Eur
2023-01-01,74,15,989,Y,Eur
2023-01-01,180,22,1492,Y,Eur
2023-01-01,87,13,1177,Y,Eur
2023-01-01,154,35,1282,Y,Eur
2023-01-01,124,2,1216,Y,Eur
2023-01-01,99,13,774,Y,Eur
2023-01-01,134,24,1406,Y,Eur
2023-01-01,116,16,1132,Y,Eur
2023-01-01,88,17,1665,Y,Eur
2023-01-01,163,17,1603,Y,Eur
2023-01-01,64,16,919,Y,Eur
2023-01-01,156,21,1086,Y,Eur
2023-01-01,60,11,1158,Y,Eur
2023-01-01,59,0,1036,Y,Eur
2023-01-01,143,26,1097,Y,Eur
2023-01-01,48,11,1120,Y,Eur
2023-01-01,92,21,1356,Y,Eur
2023-01-01,135,23,1059,Y,Eur
2023-01-01,165,17,910,Y,Eur
2023-01-01,150,28,1486,Y,Eur
2023-01-01,100,16,1174,Y,Eur
2023-01-01,101,13,1350,Y,Eur
2023-01-01,113,25,904,Y,Eur
2023-01-01,161,5,1064,Y,Eur
2023-01-01,56,4,1431,Y,Eur
2023-01-01,165,41,1248,Y,Eur
2023-01-01,137,29,1286,Y,Eur
2023-01-01,69,1,1136,Y,Eur
2023-01-01,146,19,1338,Y,Eur
2023-01-01,124,18,993,Y,Eur
2023-01-01,111,14,849,Y,Eur
2023-01-01,95,14,1238,Y,Eur
2023-01-01,113,10,644,Y,Eur
2023-01-01,175,2,1350,Y,Eur
2023-01-01,161,16,1009,Y,Eur
2023-01-01,145,32,947,Y,Eur
2023-01-01,98,12,1388,Y,Eur
2023-01-01,174,18,1143,Y,Eur
2023-01-01,145,3,1514,Y,Eur
2023-01-01,154,30,937,Y,Eur
2023-01-01,118,4,1083,Y,Eur
2023-01-01,137,15,1383,Y,Eur
2023-01-01,79,13,1006,Y,Eur
2023-01-01,199,42,1265,Y,Eur
2023-01-01,167,37,1412,Y,Eur
2023-01-01,150,1,1627,Y,Eur
2023-01-01,118,2,1162,Y,Eur
2023-01-01,121,29,1266,Y,Eur
2023-01-01,113,13,1098,Y,Eur
2023-01-01,80,17,1180,Y,Eur
2023-01-01,129,27,1146,Y,Eur
2023-01-01,70,7,1219,Y,Eur
2023-01-01,182,27,994,Y,Eur
2023-01-01,140,13,1079,Y,Eur
2023-01-01,173,34,1398,Y,Eur
2023-01-01,121,28,1223,Y,Eur
2023-01-01,47,8,934,Y,Eur
2023-01-01,128,28,983,Y,Eur
2023-01-01,121,6,1368,Y,Eur
2023-01-01,103,14,1082,Y,Eur
2023-01-01,156,26,1111,Y,Eur
2023-01-01,109,21,1400,Y,Eur
2023-01-01,129,32,1112,Y,Eur
2023-01-01,236,38,1332,Y,Eur
2023-01-01,167,12,1202,Y,Eur
2023-01-01,53,1,1161,Y,Eur
2023-01-01,133,7,939,Y,Eur
2023-01-01,160,38,1562,Y,Eur
2023-01-01,151,34,1242,Y,Eur
2023-01-01,166,14,1451,Y,Eur
2023-01-01,70,12,1060,Y,Eur
2023-01-01,50,5,913,Y,Eur
2023-01-01,152,16,1163,Y,Eur
2023-01-01,246,52,1593,Y,Eur
